Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-8.25,-0.5586,0.10168,0.09493,0.006,1,0.2375
-8,-0.559,0.09881,0.09214,0.0058,1,0.2541
-7.75,-0.5664,0.09653,0.08997,0.005,1,0.2696
-7.5,-0.5508,0.09237,0.08582,0.0072,1,0.2947
-7.25,-0.5425,0.08888,0.08237,0.0088,1,0.3205
-7,-0.5381,0.08592,0.07948,0.0105,1,0.3485
-6.75,-0.523,0.08221,0.07579,0.0133,1,0.3845
-6.5,-0.5107,0.07908,0.07269,0.0164,1,0.4267
-6.25,-0.5058,0.07677,0.07044,0.0198,1,0.4709
-6,-0.4867,0.07344,0.06712,0.0236,1,0.5251
-5.75,-0.4502,0.06846,0.06199,0.0259,1,0.5839
-4.75,-0.4241,0.04158,0.03328,-0.0369,1,0.1615
-4.5,-0.3932,0.0372,0.02826,-0.0376,1,0.1319
-4.25,-0.3641,0.03371,0.02413,-0.0375,1,0.1169
-4,-0.3366,0.03083,0.0207,-0.0371,1,0.1136
-3.75,-0.3098,0.02842,0.01777,-0.0365,1,0.1168
-3.5,-0.2822,0.0261,0.01504,-0.0355,1,0.115
-3.25,-0.2553,0.0241,0.01275,-0.0342,1,0.1158
-3,-0.2295,0.02241,0.01085,-0.0325,1,0.1202
-2.75,-0.2056,0.02085,0.00926,-0.0308,1,0.1319
-2.5,-0.1824,0.01939,0.00786,-0.0296,1,0.1622
-2.25,-0.1316,0.0146,0.00626,-0.0265,1,1
-2,-0.1194,0.01441,0.00562,-0.0242,1,1
-1.75,-0.1041,0.01428,0.00502,-0.0226,1,1
-1.5,-0.0858,0.0142,0.00461,-0.0215,1,1
-1.25,-0.0657,0.01416,0.00428,-0.0207,1,1
-1,-0.0446,0.01416,0.00403,-0.02,1,1
-0.75,-0.0231,0.01419,0.00385,-0.0194,1,1
-0.5,-0.0012,0.01425,0.00374,-0.0189,1,1
-0.25,0.0208,0.01435,0.00365,-0.0185,1,1
0,0.0429,0.01447,0.00365,-0.018,1,1
0.25,0.0649,0.01462,0.00371,-0.0176,1,1
0.5,0.0867,0.01481,0.00383,-0.0172,1,1
0.75,0.1084,0.01503,0.00402,-0.0168,1,1
1,0.1299,0.01528,0.00426,-0.0165,1,1
1.25,0.1511,0.01557,0.00458,-0.0162,1,1
1.5,0.1721,0.0159,0.00494,-0.0159,1,1
1.75,0.1928,0.01627,0.00536,-0.0156,1,1
2,0.2132,0.01668,0.00586,-0.0154,1,1
2.25,0.2332,0.01714,0.00643,-0.0152,1,1
2.5,0.253,0.01766,0.00707,-0.0151,1,1
2.75,0.2725,0.01822,0.00779,-0.015,1,1
3,0.2915,0.01885,0.00868,-0.015,1,1
3.25,0.3103,0.01954,0.00958,-0.015,1,1
3.5,0.3287,0.02029,0.01058,-0.0151,1,1
3.75,0.3467,0.02113,0.01169,-0.0153,1,1
4,0.5423,0.0232,0.01149,-0.0235,0.1324,1
4.25,0.5723,0.02532,0.01363,-0.0224,0.12,1
4.5,0.604,0.02784,0.01612,-0.0218,0.1116,1
4.75,0.6326,0.03005,0.01865,-0.0211,0.1009,1
5,0.662,0.03293,0.02191,-0.0202,0.1001,1
5.25,0.6905,0.03614,0.0258,-0.0191,0.104,1
5.5,0.7165,0.04006,0.03015,-0.0183,0.1092,1
5.75,0.742,0.04404,0.0351,-0.0173,0.1213,1
6,0.7665,0.04881,0.04083,-0.0168,0.1446,1
6.25,0.7908,0.05568,0.04879,-0.0192,0.1988,1
6.5,0.7694,0.07399,0.06819,-0.0523,0.4052,1
